x,y,z,a
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
2.50E+03,0.00E+00,8.00E+04,8.25E+04
2.50E+03,0.00E+00,8.00E+04,8.25E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
0.00E+00,0.00E+00,8.00E+04,8.00E+04
2.50E+03,0.00E+00,8.00E+04,8.25E+04
2.50E+03,0.00E+00,8.00E+04,8.25E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
2.50E+03,0.00E+00,1.00E+04,1.25E+04
2.50E+03,0.00E+00,1.00E+04,1.25E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
2.50E+03,0.00E+00,1.00E+04,1.25E+04
2.50E+03,0.00E+00,1.00E+04,1.25E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
0.00E+00,0.00E+00,1.00E+04,1.00E+04
2.50E+03,0.00E+00,1.00E+04,1.25E+04
2.50E+03,0.00E+00,1.00E+04,1.25E+04
